title,year,doi,openalex_id,cited_by,is_oa,pdf_url,landing_url,venue,doi_key,title_norm,citation_score,recency_score,kw_score_raw,kw_score,gold_probability,cluster3_probability,ml_match_gold,ml_match_cluster,ml_score_gold,ml_score_cluster3,ml_score_total,final_score
Lead halide perovskites for photocatalytic organic synthesis,2019,10.1038/s41467-019-10634-x,https://openalex.org/W2955361498,433,True,https://www.nature.com/articles/s41467-019-10634-x.pdf,https://doi.org/10.1038/s41467-019-10634-x,Nature Communications,10.1038s41467-019-10634-x,lead halide perovskites for photocatalytic organic synthesis,30.365222670502025,0.4,0.0,0.0,0.6747093062405352,0.3652200590581567,doi_key,doi_key,8.096511674886422,2.9217604724652535,11.018272147351675,41.7834948178537
Trifluoroacetate induced small-grained CsPbBr3 perovskite films result in efficient and stable light-emitting devices,2019,10.1038/s41467-019-08425-5,https://openalex.org/W2914440772,488,True,https://www.nature.com/articles/s41467-019-08425-5.pdf,https://doi.org/10.1038/s41467-019-08425-5,Nature Communications,10.1038s41467-019-08425-5,trifluoroacetate induced small grained cspbbr3 perovskite films result in efficient and stable light emitting devices,30.961812447374363,0.4,0.0,0.0,0.689887251071212,0.2542138757431439,doi_key,doi_key,8.278647012854544,2.0337110059451513,10.312358018799696,41.67417046617406
Highly Reproducible Sn‐Based Hybrid Perovskite Solar Cells with 9% Efficiency,2017,10.1002/aenm.201702019,https://openalex.org/W2760629443,883,True,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/aenm.201702019,https://doi.org/10.1002/aenm.201702019,Advanced Energy Materials,10.1002aenm.201702019,highly reproducible sn based hybrid perovskite solar cells with 9 efficiency,33.92228531318822,0.2,0.0,0.0,0.5460680674964548,0.1232943256318473,doi_key,doi_key,6.5528168099574575,0.9863546050547785,7.539171415012236,41.661456728200456
Spectra stable blue perovskite light-emitting diodes,2019,10.1038/s41467-019-09794-7,https://openalex.org/W2940595295,471,True,https://www.nature.com/articles/s41467-019-09794-7.pdf,https://doi.org/10.1038/s41467-019-09794-7,Nature Communications,10.1038s41467-019-09794-7,spectra stable blue perovskite light emitting diodes,30.784894927927773,0.4,0.0,0.0,0.689787297735939,0.2153717316769769,doi_key,doi_key,8.277447572831269,1.7229738534158152,10.000421426247085,41.18531635417486
A chemically inert bismuth interlayer enhances long-term stability of inverted perovskite solar cells,2019,10.1038/s41467-019-09167-0,https://openalex.org/W2922321003,362,True,https://www.nature.com/articles/s41467-019-09167-0.pdf,https://doi.org/10.1038/s41467-019-09167-0,Nature Communications,10.1038s41467-019-09167-0,a chemically inert bismuth interlayer enhances long term stability of inverted perovskite solar cells,29.472014171324254,0.4,0.0,0.0,0.6940111698595363,0.3704991863290033,doi_key,doi_key,8.328134038314435,2.9639934906320264,11.29212752894646,41.16414170027071
"High-resolution patterning of colloidal quantum dots via non-destructive, light-driven ligand crosslinking",2020,10.1038/s41467-020-16652-4,https://openalex.org/W3033478592,243,True,https://www.nature.com/articles/s41467-020-16652-4.pdf,https://doi.org/10.1038/s41467-020-16652-4,Nature Communications,10.1038s41467-020-16652-4,high resolution patterning of colloidal quantum dots via non destructive light driven ligand crosslinking,27.48584112646601,0.5,3.0,6.0,0.4784364631168917,0.1696077574462064,doi_key,doi_key,5.7412375574027,1.3568620595696512,7.098099616972351,41.08394074343836
"Indoor Air Pollution, Related Human Diseases, and Recent Trends in the Control and Improvement of Indoor Air Quality",2020,10.3390/ijerph17082927,https://openalex.org/W3020484714,736,True,https://www.mdpi.com/1660-4601/17/8/2927/pdf?version=1587738024,https://doi.org/10.3390/ijerph17082927,International Journal of Environmental Research and Public Health,10.3390ijerph17082927,indoor air pollution related human diseases and recent trends in the control and improvement of indoor air quality,33.01293946094668,0.5,0.0,0.0,0.5152461830060567,0.1719972765857835,doi_key,doi_key,6.18295419607268,1.375978212686268,7.558932408758949,41.07187186970563
Stability of perovskite solar cells: issues and prospects,2023,10.1039/d2ra05903g,https://openalex.org/W4313893985,366,True,https://pubs.rsc.org/en/content/articlepdf/2023/ra/d2ra05903g,https://doi.org/10.1039/d2ra05903g,RSC Advances,10.1039d2ra05903g,stability of perovskite solar cells issues and prospects,29.526809240272854,0.8,0.0,0.0,0.480493203508469,0.6202018607623968,doi_key,doi_key,5.765918442101628,4.9616148860991744,10.727533328200803,41.05434256847366
Classifications and Applications of Inkjet Printing Technology: A Review,2021,10.1109/access.2021.3119219,https://openalex.org/W3206452593,248,True,https://ieeexplore.ieee.org/ielx7/6287639/6514899/09565892.pdf,https://doi.org/10.1109/access.2021.3119219,IEEE Access,10.1109access.2021.3119219,classifications and applications of inkjet printing technology a review,27.587264482323537,0.6,5.0,10.0,0.1945827755844697,0.0467271655127344,doi_key,doi_key,2.3349933070136366,0.3738173241018752,2.7088106311155116,40.89607511343905
20.8% Slot‐Die Coated MAPbI<sub>3</sub> Perovskite Solar Cells by Optimal DMSO‐Content and Age of 2‐ME Based Precursor Inks,2021,10.1002/aenm.202003460,https://openalex.org/W3113214473,191,True,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/aenm.202003460,https://doi.org/10.1002/aenm.202003460,Advanced Energy Materials,10.1002aenm.202003460,20 8 slot die coated mapbi 3 perovskite solar cells by optimal dmso content and age of 2 me based precursor inks,26.28747686013891,0.6,6.0,12.0,0.1399104826151371,0.0305521586901727,doi_key,doi_key,1.6789257913816453,0.2444172695213816,1.9233430609030269,40.81081992104194
